report_date,region,country,location_name,post_emergency,refugee_pop,persons_per_tap,liters_person_day,safe_water_perc,persons_per_shower,persons_per_toilet,toilets_per_HH_percentage,persons_per_hygiene_promoter
2024-03,Sub-Saharan Africa,Niger,Ayerou,Post-emergency,8000,222,10,NA,1142,533,0,1142
2024-03,Sub-Saharan Africa,Niger,Centre humanitaire Agadez,Emergency,2642,NA,21,NA,94,47,0,NA
2024-03,Sub-Saharan Africa,Niger,Chadakori,Post-emergency,5282,252,11,NA,58,29,8,330
2024-03,Sub-Saharan Africa,Niger,Dandaji Makao,Post-emergency,4180,418,16,NA,48,27,8,261
2024-03,Sub-Saharan Africa,Niger,Garin Kaka,Post-emergency,2937,210,22,NA,54,20,13,183
2024-03,Sub-Saharan Africa,Niger,Ouallam,Post-emergency,6457,98,18,NA,100,15,28,NA
2024-03,Sub-Saharan Africa,Niger,Sayam Forage,Post-emergency,31174,266,11,NA,149,24,13,15587
2024-03,Sub-Saharan Africa,Rwanda,Kigeme,Post-emergency,14677,81,16,100,42,34,0,815
2024-03,Sub-Saharan Africa,Rwanda,Kiziba,Post-emergency,14940,83,35,100,60,22,0,324
2024-03,Sub-Saharan Africa,Rwanda,Mahama,Post-emergency,63505,82,20,100,18,19,0,496
2024-03,Sub-Saharan Africa,Rwanda,Mugombwa,Post-emergency,11841,75,21,100,37,26,0,NA
2024-03,Sub-Saharan Africa,Rwanda,Nyabiheke,Post-emergency,12021,76,13,100,40,17,0,324
2024-03,Northern Africa,Sudan,Abuda,Post-emergency,3560,66,22,NA,NA,6,60,NA
2024-03,Northern Africa,Sudan,Al Jameya,Post-emergency,28882,257,12,97,NA,24,18,1805
2024-03,Northern Africa,Sudan,Al Kashafa,Post-emergency,20357,198,9,94,NA,23,20,NA
2024-03,Northern Africa,Sudan,Al Redis 1,Post-emergency,15266,216,14,98,NA,19,21,954
2024-03,Northern Africa,Sudan,Al Redis 2,Post-emergency,40048,228,7,94,NA,48,7,2503
2024-03,Northern Africa,Sudan,Alagaya,Post-emergency,61827,310,5,79,NA,112,3,3864
2024-03,Northern Africa,Sudan,Dabat Bosin,Post-emergency,28802,425,4,80,NA,79,4,1800
2024-03,Northern Africa,Sudan,Girba,Post-emergency,6409,214,29,NA,NA,9,45,NA
2024-03,Northern Africa,Sudan,Jouri,Post-emergency,NA,70,31,88,NA,0,0,NA
2024-03,Northern Africa,Sudan,Khor Alwarel,Post-emergency,55164,289,8,82,NA,197,0,3447
2024-03,Northern Africa,Sudan,Kilo 26,Post-emergency,9848,328,33,NA,NA,8,50,NA
2024-03,Northern Africa,Sudan,Shagarab I,Post-emergency,50812,565,13,NA,NA,33,7,NA
2024-03,Northern Africa,Sudan,Um Rakuba,Post-emergency,17795,53,22,89,8,10,11,348
2024-03,Northern Africa,Sudan,Um Sangour,Post-emergency,68078,NA,5,74,NA,70,6,4254
2024-03,Northern Africa,Sudan,Wad Sharife,Post-emergency,18488,134,24,NA,NA,9,42,NA
2024-03,Sub-Saharan Africa,Tanzania,Nyarugusu,Post-emergency,137416,106,22,87,NA,6,74,1416
2024-02,Sub-Saharan Africa,Angola,Lovua settlement,Post-emergency,6141,55,28,NA,17,7,62,1228
2024-02,Sub-Saharan Africa,Chad,Amnabak,NA,NA,NA,NA,NA,NA,NA,0,NA
2024-02,Sub-Saharan Africa,Chad,Bredjing,Post-emergency,53224,336,21,100,NA,10,57,13306
2024-02,Sub-Saharan Africa,Chad,Gaga,Post-emergency,35051,223,10,100,70,10,58,1947
2024-02,Sub-Saharan Africa,Chad,Iridimi,Post-emergency,39420,169,4,98,227,31,12,3942
